gene,lable
hsa-miR-3189-5p,1
hsa-miR-3190-5p,1
hsa-miR-3191-5p,1
hsa-miR-3192-5p,1
hsa-miR-3193,1
hsa-miR-3194-5p,1
hsa-miR-3195,1
hsa-miR-3196,1
hsa-miR-3197,1
hsa-miR-3198,1
hsa-miR-3199,1
hsa-miR-32-5p,1
hsa-miR-3200-5p,1
hsa-miR-3201,1
hsa-miR-3202,1
hsa-miR-320a,1
hsa-miR-320b,1
hsa-miR-320c,1
hsa-miR-320d,1
hsa-miR-320e,1
hsa-miR-323a-5p,1
hsa-miR-323b-5p,1
hsa-miR-324-5p,1
hsa-miR-325,1
hsa-miR-326,1
hsa-miR-328-5p,1
hsa-miR-329-5p,1
hsa-miR-330-5p,1
hsa-miR-331-5p,1
hsa-miR-335-5p,1
hsa-miR-337-5p,1
hsa-miR-338-5p,1
hsa-miR-339-5p,1
hsa-miR-33a-5p,1
hsa-miR-33b-5p,1
hsa-miR-340-5p,1
hsa-miR-342-5p,1
hsa-miR-345-5p,1
hsa-miR-346,1
hsa-miR-34a-5p,1
hsa-miR-34b-5p,1
hsa-miR-34c-5p,1
hsa-miR-3529-5p,1
hsa-miR-3591-5p,1
hsa-miR-3605-5p,1
hsa-miR-3606-5p,1
hsa-miR-3607-5p,1
hsa-miR-3609,1
hsa-miR-361-5p,1
hsa-miR-3610,1
hsa-miR-3611,1
hsa-miR-3612,1
hsa-miR-3613-5p,1
hsa-miR-3614-5p,1
hsa-miR-3615,1
hsa-miR-3616-5p,1
hsa-miR-3617-5p,1
hsa-miR-3618,1
hsa-miR-3619-5p,1
hsa-miR-362-5p,1
hsa-miR-3620-5p,1
hsa-miR-3621,1
hsa-miR-3622a-5p,1
hsa-miR-3622b-5p,1
hsa-miR-363-5p,1
hsa-miR-3646,1
hsa-miR-3648,1
hsa-miR-3649,1
hsa-miR-3650,1
hsa-miR-3651,1
hsa-miR-3652,1
hsa-miR-3653-3p,1
hsa-miR-3654,1
hsa-miR-3655,1
hsa-miR-3656,1
hsa-miR-3657,1
hsa-miR-3658,1
hsa-miR-3659,1
hsa-miR-365a-5p,1
hsa-miR-365b-5p,1
hsa-miR-3660,1
hsa-miR-3661,1
hsa-miR-3662,1
hsa-miR-3663-5p,1
hsa-miR-3664-5p,1
hsa-miR-3665,1
hsa-miR-3666,1
hsa-miR-3667-5p,1
hsa-miR-3668,1
hsa-miR-3669,1
hsa-miR-367-5p,1
hsa-miR-3670,1
hsa-miR-3671,1
hsa-miR-3672,1
hsa-miR-3673,1
hsa-miR-3674,1
hsa-miR-3675-5p,1
hsa-miR-3677-5p,1
hsa-miR-3678-5p,1
hsa-miR-3679-5p,1
hsa-miR-3680-5p,1
hsa-miR-3681-5p,1
hsa-miR-3682-5p,1
hsa-miR-3683,1
hsa-miR-3684,1
hsa-miR-3685,1
hsa-miR-3686,1
hsa-miR-3687,1
hsa-miR-3688-5p,1
hsa-miR-3689a-5p,1
hsa-miR-3689b-5p,1
hsa-miR-3689c,1
hsa-miR-3689d,1
hsa-miR-3689e,1
hsa-miR-3689f,1
hsa-miR-369-5p,1
hsa-miR-3690,1
hsa-miR-3691-5p,1
hsa-miR-3692-5p,1
hsa-miR-370-5p,1
hsa-miR-3713,1
hsa-miR-3714,1
hsa-miR-371a-5p,1
hsa-miR-371b-5p,1
hsa-miR-372-5p,1
hsa-miR-373-5p,1
hsa-miR-374a-5p,1
hsa-miR-374b-5p,1
hsa-miR-374c-5p,1
hsa-miR-375,1
hsa-miR-376a-5p,1
hsa-miR-376a-2-5p,1
hsa-miR-376b-5p,1
hsa-miR-376c-5p,1
hsa-miR-377-5p,1
hsa-miR-378a-5p,1
hsa-miR-378b,1
hsa-miR-378c,1
hsa-miR-378d,1
hsa-miR-378e,1
hsa-miR-378f,1
hsa-miR-378g,1
hsa-miR-378h,1
hsa-miR-378i,1
hsa-miR-378j,1
hsa-miR-379-5p,1
hsa-miR-380-5p,1
hsa-miR-381-5p,1
hsa-miR-382-5p,1
hsa-miR-383-5p,1
hsa-miR-384,1
hsa-miR-3907,1
hsa-miR-3908,1
hsa-miR-3909,1
hsa-miR-3910,1
hsa-miR-3911,1
hsa-miR-3912-5p,1
hsa-miR-3913-5p,1
hsa-miR-3914,1
hsa-miR-3915,1
hsa-miR-3916,1
hsa-miR-3917,1
hsa-miR-3918,1
hsa-miR-3919,1
hsa-miR-3920,1
hsa-miR-3921,1
hsa-miR-3922-5p,1
hsa-miR-3923,1
hsa-miR-3924,1
hsa-miR-3925-5p,1
hsa-miR-3926,1
hsa-miR-3927-5p,1
hsa-miR-3928-5p,1
hsa-miR-3929,1
hsa-miR-3934-5p,1
hsa-miR-3935,1
hsa-miR-3936,1
hsa-miR-3937,1
hsa-miR-3938,1
hsa-miR-3939,1
hsa-miR-3940-5p,1
hsa-miR-3941,1
hsa-miR-3942-5p,1
hsa-miR-3943,1
hsa-miR-3944-5p,1
hsa-miR-3945,1
hsa-miR-3960,1
hsa-miR-3972,1
hsa-miR-3973,1
hsa-miR-3974,1
hsa-miR-3975,1
hsa-miR-3976,1
hsa-miR-3977,1
hsa-miR-3978,1
hsa-miR-409-5p,1
hsa-miR-410-5p,1
hsa-miR-411-5p,1
hsa-miR-412-5p,1
hsa-miR-421,1
hsa-miR-422a,1
hsa-miR-423-5p,1
hsa-miR-424-5p,1
hsa-miR-425-5p,1
hsa-miR-4251,1
hsa-miR-4252,1
hsa-miR-4253,1
hsa-miR-4254,1
hsa-miR-4255,1
hsa-miR-4256,1
hsa-miR-4257,1
hsa-miR-4258,1
hsa-miR-4259,1
hsa-miR-4260,1
hsa-miR-4261,1
hsa-miR-4262,1
hsa-miR-4263,1
hsa-miR-4264,1
hsa-miR-4265,1
hsa-miR-4266,1
hsa-miR-4267,1
hsa-miR-4268,1
hsa-miR-4269,1
hsa-miR-4270,1
hsa-miR-4271,1
hsa-miR-4272,1
hsa-miR-4273,1
hsa-miR-4274,1
hsa-miR-4275,1
hsa-miR-4276,1
hsa-miR-4277,1
hsa-miR-4278,1
hsa-miR-4279,1
hsa-miR-4280,1
hsa-miR-4281,1
hsa-miR-4282,1
hsa-miR-4283,1
hsa-miR-4284,1
hsa-miR-4285,1
